









Frequency of observations in the selected location(s).:
Number of taxa: 	451

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Domestic goose sp. x Canada Goose (hybrid) (<em class="sci">Anser sp. (Domestic type) x Branta canadensis</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.378E-4	0.0	
goose sp. (<em class="sci">Anatidae (goose sp.)</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.554E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Tundra Swan (<em class="sci">Cygnus columbianus</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Muscovy Duck (<em class="sci">Cairina moschata</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.386E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.067E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.331E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Wood Duck (<em class="sci">Aix sponsa</em>)	0.0039353	0.002008	0.0036101	0.0021164	7.849E-4	0.0011947	8.271E-4	0.0014514	0.0029542	0.0087838	0.0116874	0.0340357	0.0470746	0.0466744	0.0559857	0.045082	0.0415306	0.0381797	0.0306707	0.0247713	0.0274907	0.0271248	0.0252695	0.0287661	0.0262316	0.0272232	0.0238569	0.0255255	0.0301484	0.0383621	0.0422232	0.0466356	0.0345	0.0532768	0.0575964	0.0443787	0.0407186	0.0442667	0.0347518	0.026644	0.0086957	0.0062435	0.0011274	0.0	0.0	0.004914	0.002551	0.0038803	
Blue-winged Teal (<em class="sci">Spatula discors</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.725E-4	0.0087515	0.0113163	0.0045537	0.0023332	0.0023139	6.741E-4	0.0015	2.067E-4	0.0015	6.739E-4	2.523E-4	9.597E-4	7.26E-4	3.976E-4	0.0	9.276E-4	8.621E-4	0.0012925	0.0033311	0.001	0.0033003	0.0031746	0.0039448	0.0011976	0.0010667	0.0	5.669E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Northern Shoveler (<em class="sci">Spatula clypeata</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.257E-4	0.0	6.757E-4	0.0	0.008644	0.00269	0.0011669	0.0035736	0.0022769	0.0013999	0.0	3.37E-4	1.905E-4	4.134E-4	3.617E-4	0.0013477	2.523E-4	0.0	0.0	3.976E-4	0.0	0.0	4.31E-4	0.0	0.0	5.0E-4	9.43E-4	4.535E-4	9.862E-4	0.0035928	0.0021333	0.0021277	0.0034014	0.0019324	0.0052029	0.0022548	0.0	0.0	0.0	0.0	0.0	
Gadwall (<em class="sci">Mareca strepera</em>)	8.745E-4	0.0026774	0.0021661	0.0010582	7.849E-4	0.0	0.0020678	0.0021771	0.0014771	0.002027	7.305E-4	0.004322	0.0047075	0.0023337	0.0059559	0.0	4.666E-4	3.857E-4	0.0	3.811E-4	2.067E-4	3.617E-4	0.0	0.0	0.0015	3.63E-4	3.976E-4	3.003E-4	0.0015	0.0	4.308E-4	0.0	5.0E-4	0.0	9.07E-4	0.0	0.0017964	0.0016	0.0	0.0015	9.662E-4	0.0	0.0	0.0010111	0.0	0.0	0.0012755	0.0	
Eurasian Wigeon (<em class="sci">Mareca penelope</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0027716	
American Wigeon (<em class="sci">Mareca americana</em>)	0.003498	0.0033467	0.0021661	0.0111111	0.0062794	0.0029869	0.0041356	0.0050798	0.0088626	0.0047297	0.0051132	0.0054025	0.0033625	0.0029172	0.0041691	0.0013661	4.666E-4	0.0	3.37E-4	1.905E-4	2.067E-4	0.001085	0.0	2.523E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.331E-4	5.0E-4	4.715E-4	9.07E-4	9.862E-4	5.988E-4	5.333E-4	0.0042553	0.005102	0.0077295	0.0031217	0.0078918	0.0040445	0.0071685	0.0085995	0.005102	0.0072062	
