









Frequency of observations in the selected location(s).:
Number of taxa: 	451

	Jan				Feb				Mar				Apr				May				Jun				Jul				Aug				Sep				Oct				Nov				Dec				
Barrow's Goldeneye (<em class="sci">Bucephala islandica</em>)	0.003498	0.0060241	0.0108303	0.0074074	0.0149137	0.0077658	0.0070306	0.0101597	0.006647	0.0067568	0.0065741	0.004322	0.001345	0.0023337	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0019324	0.0015	0.0011274	0.0010111	0.0023895	0.0036855	0.0044643	0.0049889	
Common x Barrow's Goldeneye (hybrid) (<em class="sci">Bucephala clangula x islandica</em>)	0.0	0.0	7.22E-4	0.0	7.849E-4	0.0011947	0.0	0.0021771	7.386E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Common/Barrow's Goldeneye (<em class="sci">Bucephala clangula/islandica</em>)	0.0	0.0	0.0	0.0	0.0	0.0	4.136E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011947	0.0	0.0	0.0	
Hooded Merganser (<em class="sci">Lophodytes cucullatus</em>)	0.0306078	0.0327979	0.0281588	0.0306878	0.0266876	0.0227001	0.0082713	0.0384615	0.0435746	0.0506757	0.0540541	0.0702323	0.0524546	0.0326721	0.0315664	0.0227687	0.0125992	0.0173544	0.0121335	0.0087652	0.0076478	0.0115732	0.0087601	0.0055513	0.0079974	0.0076225	0.0067594	0.0129129	0.0143785	0.0146552	0.019819	0.0146569	0.021	0.0132013	0.014966	0.020217	0.0275449	0.0229333	0.0219858	0.0453515	0.0628019	0.0561915	0.0744081	0.0606673	0.0597372	0.0515971	0.0471939	0.0432373	
Common Goldeneye x Hooded Merganser (hybrid) (<em class="sci">Bucephala clangula x Lophodytes cucullatus</em>)	0.0013118	6.693E-4	0.001444	0.0015873	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0022548	0.0010111	0.0011947	0.004914	0.0031888	0.0011086	
Common Merganser (<em class="sci">Mergus merganser</em>)	0.0306078	0.0267738	0.0231047	0.0280423	0.0321821	0.0280765	0.019024	0.0384615	0.0450517	0.0371622	0.0328707	0.0378174	0.0443847	0.0495916	0.0500298	0.037796	0.0382641	0.0262245	0.0215706	0.0251524	0.0196362	0.0191682	0.0215633	0.015897	0.0115163	0.0145191	0.0182903	0.0168168	0.012987	0.0112069	0.0159414	0.0163225	0.0145	0.0141443	0.0108844	0.0157791	0.0251497	0.0170667	0.0141844	0.0209751	0.0289855	0.0353798	0.0293123	0.0273003	0.0274791	0.012285	0.0229592	0.0310421	
Red-breasted Merganser (<em class="sci">Mergus serrator</em>)	0.1980761	0.1880857	0.1862816	0.2010582	0.1930926	0.1577061	0.1488834	0.2119013	0.16839	0.1763514	0.1431702	0.1129119	0.1183591	0.0991832	0.099464	0.0742259	0.0713952	0.0451215	0.0242669	0.0127668	0.0101282	0.0068716	0.0064016	0.0055513	0.0057582	0.0058076	0.0067594	0.0054054	0.0041744	0.0030172	0.0064627	0.0043304	0.0075	0.0051862	0.0072562	0.0128205	0.0215569	0.032	0.0574468	0.1071429	0.12657	0.1404787	0.1296505	0.148635	0.1409797	0.1609337	0.2155612	0.1796009	
Common/Red-breasted Merganser (<em class="sci">Mergus merganser/serrator</em>)	0.0	6.693E-4	0.0	0.0	0.0	0.0	4.136E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0010111	0.0	0.0	0.0	0.0	
merganser sp. (<em class="sci">Mergellus/Lophodytes/Mergus sp.</em>)	0.0	0.0	0.0	0.0	0.0	0.0	4.136E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.905E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.333E-4	0.0	0.0	0.0	0.0010406	0.0	0.0	0.0	0.0	0.0	0.0	
Ruddy Duck (<em class="sci">Oxyura jamaicensis</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.305E-4	5.402E-4	0.0	5.834E-4	0.0	0.0	0.0	3.857E-4	0.0	0.0	0.0	0.0	3.369E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.715E-4	4.535E-4	9.862E-4	5.988E-4	0.0016	0.0014184	0.0022676	0.0077295	0.0031217	0.0015	0.0020222	0.0035842	0.0	0.0	0.0011086	
duck sp. (<em class="sci">Anatidae (duck sp.)</em>)	0.0091823	0.0107095	0.0101083	0.0132275	0.0196232	0.0143369	0.0090984	0.0181422	0.0088626	0.0081081	0.0153397	0.012966	0.0114324	0.0087515	0.0083383	0.0086521	0.0037331	0.0015426	0.0026963	0.002096	0.0012402	0.0025316	0.0030323	0.0017663	0.0028791	0.0010889	0.0023857	0.0036036	0.0046382	0.0081897	0.0047393	0.0079947	0.0095	0.0080151	0.0086168	0.015286	0.0215569	0.0138667	0.0184397	0.0221088	0.026087	0.0270552	0.0146561	0.0182002	0.0191159	0.02457	0.0108418	0.0072062	
waterfowl sp. (<em class="sci">Anatidae sp.</em>)	0.0	0.0013387	7.22E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0012285	0.0	0.0011086	
Helmeted Guineafowl (<em class="sci">Numida meleagris</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0015	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Northern Bobwhite (<em class="sci">Colinus virginianus</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	2.523E-4	0.0	0.0	0.0	0.0	0.0	4.31E-4	4.308E-4	0.0	5.0E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Wild Turkey (<em class="sci">Meleagris gallopavo</em>)	0.0336686	0.0287818	0.0281588	0.0248677	0.0259027	0.0352449	0.0583127	0.0355588	0.0369276	0.0324324	0.046019	0.0540249	0.0558171	0.0624271	0.0595593	0.079235	0.0527298	0.048978	0.0542636	0.0363948	0.0386523	0.0311031	0.023248	0.0267474	0.0223928	0.0188748	0.015507	0.0183183	0.0194805	0.0224138	0.0292977	0.0256496	0.036	0.0320603	0.0340136	0.0414201	0.0293413	0.0357333	0.0319149	0.0385488	0.0357488	0.0343392	0.0405862	0.0455005	0.0346476	0.031941	0.0433673	0.0404656	
Ruffed Grouse (<em class="sci">Bonasa umbellus</em>)	0.0153039	0.0080321	0.0144404	0.0089947	0.0172684	0.0095579	0.0062035	0.0043541	0.0081241	0.0114865	0.0058437	0.0102647	0.0154674	0.0169195	0.0357356	0.0582878	0.0415306	0.038951	0.0465116	0.0377287	0.0237702	0.0227848	0.0144879	0.0100934	0.0111964	0.0112523	0.0087475	0.0057057	0.0055659	0.0068966	0.0068936	0.0046636	0.0045	0.0042433	0.0095238	0.0138067	0.0161677	0.0117333	0.0141844	0.0153061	0.0193237	0.0166493	0.0135287	0.0222447	0.0179211	0.017199	0.0165816	0.0182927	
Spruce Grouse (<em class="sci">Canachites canadensis</em>)	8.745E-4	0.0015	0.001444	5.291E-4	0.0	0.0015	0.0033085	0.0	0.0	6.757E-4	7.305E-4	0.002161	6.725E-4	0.0023337	0.0	0.0040984	9.333E-4	3.857E-4	6.741E-4	9.527E-4	0.0018603	0.001085	0.0026954	0.0012617	0.0019194	3.63E-4	0.0019881	0.0012012	0.0018553	0.0015	8.617E-4	6.662E-4	0.001	0.0018859	0.0022676	0.0034517	0.0017964	0.0010667	0.0028369	0.0017007	0.0019324	0.0020812	0.0011274	0.0010111	0.0015	0.002457	0.0015	0.0011086	
Ruffed/Spruce Grouse (<em class="sci">Bonasa umbellus/Canachites canadensis</em>)	0.0	0.0	0.0	5.291E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.402E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0010111	0.0	0.0	0.0	0.0	
grouse sp. (<em class="sci">Tetraoninae sp.</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.305E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.003E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0010406	0.0	0.0	0.0	0.0	6.378E-4	0.0	
Ring-necked Pheasant (<em class="sci">Phasianus colchicus</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	3.857E-4	0.0	0.0	0.0	3.617E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011274	0.0	0.0	0.0	0.0	0.0	
Chukar (<em class="sci">Alectoris chukar</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.905E-4	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	4.31E-4	4.308E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Pied-billed Grebe (<em class="sci">Podilymbus podiceps</em>)	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0015	0.0011669	0.0023824	0.0013661	0.0	3.857E-4	0.0010111	5.716E-4	4.134E-4	0.001085	3.369E-4	0.001514	0.0022393	0.0010889	0.0011928	0.0021021	9.276E-4	4.31E-4	8.617E-4	0.0	0.003	0.0014144	0.0040816	0.0029586	0.0041916	0.0053333	0.0049645	0.0034014	0.0038647	0.0031217	0.0011274	0.0	0.0	0.0036855	0.0	0.0	
Horned Grebe (<em class="sci">Podiceps auritus</em>)	0.104941	0.0890228	0.0866426	0.1058201	0.1067504	0.0728793	0.070306	0.1124819	0.0805022	0.0837838	0.0613587	0.0545651	0.0450572	0.0361727	0.0297796	0.0145719	0.005133	0.0038565	0.0010111	0.0011433	0.0049607	3.617E-4	0.0010108	0.0	0.0	0.0	0.0	6.006E-4	0.0	0.0	0.0012925	3.331E-4	0.0	9.43E-4	0.0027211	0.0078895	0.0185629	0.0208	0.0219858	0.053288	0.0743961	0.069719	0.0744081	0.0819009	0.0919952	0.1007371	0.122449	0.0820399	
Red-necked Grebe (<em class="sci">Podiceps grisegena</em>)	0.1114998	0.0863454	0.0758123	0.0798942	0.0824176	0.0585424	0.0459057	0.0732946	0.0590842	0.0554054	0.0540541	0.0524041	0.0497646	0.042007	0.0458606	0.0323315	0.0261316	0.0142692	0.0074149	0.0034299	0.0010335	0.001085	6.739E-4	0.0	3.199E-4	3.63E-4	0.0011928	0.0021021	0.0032468	0.0034483	0.0090478	0.0169887	0.028	0.0353607	0.0331066	0.040927	0.0479042	0.0730667	0.077305	0.1258503	0.1236715	0.1279917	0.1465614	0.1354904	0.1421744	0.1228501	0.1352041	0.1086475	
Podiceps sp. (<em class="sci">Podiceps sp.</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.834E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
grebe sp. (<em class="sci">Podicipedidae sp.</em>)	8.745E-4	0.0013387	0.0050542	0.0037037	0.0023548	5.974E-4	0.0015	0.0	0.0	0.0	0.0	0.0016207	0.0	5.834E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.669E-4	0.0	0.0010406	0.0022548	0.0	0.0	0.002457	0.0038265	5.543E-4	
Rock Pigeon (<em class="sci">Columba livia</em>)	0.0581548	0.0455154	0.0527076	0.0481481	0.0423862	0.0340502	0.0301902	0.0449927	0.0295421	0.0317568	0.0306793	0.0253917	0.0262273	0.0350058	0.0136986	0.0136612	0.0149323	0.0208253	0.0202224	0.0201982	0.0241835	0.0271248	0.0259434	0.0259904	0.024952	0.0225045	0.0262425	0.0291291	0.0347866	0.0357759	0.0301594	0.0253165	0.0285	0.0282885	0.031746	0.0315582	0.0323353	0.0293333	0.0262411	0.0294785	0.0241546	0.0145682	0.0315671	0.0343782	0.0286738	0.036855	0.0357143	0.0476718	
White-winged Dove (<em class="sci">Zenaida asiatica</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.369E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Mourning Dove (<em class="sci">Zenaida macroura</em>)	0.2033231	0.2121821	0.2281588	0.1936508	0.2119309	0.2676225	0.2969396	0.1966618	0.1905465	0.2290541	0.2578524	0.2987574	0.2905178	0.2806301	0.2692079	0.2868852	0.3056463	0.2900116	0.2912032	0.2570503	0.2405953	0.244123	0.2439353	0.2263437	0.2303263	0.2246824	0.2282306	0.2291291	0.224026	0.1991379	0.1968979	0.185543	0.1905	0.1287129	0.1201814	0.1158777	0.1071856	0.1077333	0.1446809	0.1751701	0.1816425	0.1852237	0.199549	0.2184024	0.2078853	0.2297297	0.1983418	0.1940133	
Yellow-billed Cuckoo (<em class="sci">Coccyzus americanus</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.857E-4	3.37E-4	7.622E-4	4.134E-4	0.001085	0.0020216	0.003028	0.0025592	0.0010889	0.0011928	0.0021021	0.0027829	0.0034483	0.0021542	0.0013324	0.0	4.715E-4	0.0027211	0.0015	0.0023952	0.0037333	0.0021277	0.0028345	0.0015	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	
Black-billed Cuckoo (<em class="sci">Coccyzus erythropthalmus</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0010111	0.0083841	0.0107482	0.0079566	0.0050539	0.006813	0.0022393	0.0039927	0.005169	0.0087087	0.005102	0.0073276	0.0034468	0.0033311	5.0E-4	0.0014144	0.0	4.931E-4	5.988E-4	0.0015	0.0	0.0034014	0.0015	0.0010406	0.0	0.0	0.0	0.0	0.0	0.0	
Coccyzus sp. (<em class="sci">Coccyzus sp.</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
cuckoo sp. (Cuculidae sp.) (<em class="sci">Cuculidae sp.</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.669E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Common Nighthawk (<em class="sci">Chordeiles minor</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0020222	0.0169588	0.0130219	0.0213382	0.0202156	0.01514	0.0147153	0.0177858	0.0202783	0.0195195	0.0194805	0.0146552	0.0176648	0.0176549	0.017	0.0056577	0.0013605	0.0014793	5.988E-4	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Chuck-will's-widow (<em class="sci">Antrostomus carolinensis</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	6.741E-4	1.905E-4	2.067E-4	0.0061483	0.0067385	0.0020187	0.0044786	0.0032668	7.952E-4	0.0012012	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Eastern Whip-poor-will (<em class="sci">Antrostomus vociferus</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	4.666E-4	3.857E-4	0.0016852	0.003811	0.0022737	0.0086799	0.009434	0.003028	0.0079974	0.0043557	7.952E-4	0.0018018	9.276E-4	4.31E-4	4.308E-4	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Chimney Swift (<em class="sci">Chaetura pelagica</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0022769	9.333E-4	0.0034709	0.0114594	0.0158155	0.0152956	0.0184448	0.0175202	0.0133737	0.0099168	0.0094374	0.0083499	0.0093093	0.0088126	0.0116379	0.0060319	0.0016656	0.0025	0.0014144	4.535E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Mexican Violetear (<em class="sci">Colibri thalassinus</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Ruby-throated Hummingbird (<em class="sci">Archilochus colubris</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0237984	0.1087543	0.1600944	0.119093	0.0808185	0.0705244	0.0586253	0.0678779	0.0674984	0.0758621	0.0878728	0.1135135	0.1270872	0.1331897	0.1314089	0.143571	0.1665	0.1188119	0.0653061	0.0093688	0.0017964	5.333E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Ruby-throated/Black-chinned Hummingbird (<em class="sci">Archilochus colubris/alexandri</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Calliope Hummingbird (<em class="sci">Selasphorus calliope</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0011338	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Rufous Hummingbird (<em class="sci">Selasphorus rufus</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
King Rail (<em class="sci">Rallus elegans</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	
Virginia Rail (<em class="sci">Rallus limicola</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	5.834E-4	5.956E-4	0.0	0.0018665	0.001157	0.0026963	0.0024771	6.201E-4	0.0028933	0.0020216	0.0017663	3.199E-4	3.63E-4	3.976E-4	3.003E-4	4.638E-4	0.0015	0.0	6.662E-4	0.0	9.43E-4	0.0	4.931E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Sora (<em class="sci">Porzana carolina</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.554E-4	0.0018665	0.0026996	0.0037074	0.0022866	8.268E-4	0.0015	0.0	2.523E-4	0.0	0.0	0.0	0.0	0.0	0.0	8.617E-4	3.331E-4	5.0E-4	0.0	0.0	4.931E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Common Gallinule (<em class="sci">Gallinula galeata</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	9.527E-4	4.134E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	7.092E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
American Coot (<em class="sci">Fulica americana</em>)	0.0	0.0	0.0	0.0	0.0031397	5.974E-4	0.0	0.0	0.0	0.0	0.0015	0.0015	6.725E-4	0.0	5.956E-4	9.107E-4	0.0	3.857E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0010667	7.092E-4	0.0015	9.662E-4	0.0052029	0.0011274	0.0030334	0.0011947	0.0012285	0.0	0.0	
Purple Gallinule (<em class="sci">Porphyrio martinica</em>)	0.0	0.0015	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	
Sandhill Crane (<em class="sci">Antigone canadensis</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0020175	0.0011669	0.0	0.0	0.0015	0.0015	3.37E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0015	0.0	0.0	0.0	5.669E-4	0.0	0.0	0.0	0.0	0.0	0.0012285	0.0	0.0	
American Oystercatcher (<em class="sci">Haematopus palliatus</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	4.666E-4	0.0026996	0.0023593	0.0011433	6.201E-4	0.0039783	0.0020216	0.0020187	0.0025592	0.0029038	0.0039761	0.0018018	0.0013915	8.621E-4	0.0015	0.0	0.0	4.715E-4	0.0	0.0	0.0	0.0	0.0	5.669E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
American/Black Oystercatcher (<em class="sci">Haematopus palliatus/bachmani</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.857E-4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
Black-bellied Plover (<em class="sci">Pluvialis squatarola</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0015	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0013999	0.0034709	0.016852	0.0104802	0.0072344	0.0036166	0.0020216	2.523E-4	3.199E-4	0.0010889	0.0019881	0.0075075	0.0153061	0.0331897	0.0413615	0.0323118	0.026	0.0084866	0.0176871	0.0157791	0.0167665	0.0085333	0.0141844	0.0187075	0.0125604	0.0104058	0.0022548	0.0015	0.0	0.0	0.0	5.543E-4	
American Golden-Plover (<em class="sci">Pluvialis dominica</em>)	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.617E-4	3.331E-4	5.0E-4	4.715E-4	0.0013605	0.0014793	0.0023952	0.0	0.0	0.0011338	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	
